,isJunior,lensColor,img,offerPrice,seoCurrency,pdpURL,isFindInStore,isCustomizable,mfpartnumber,id,brand,isEmailMeWhenAvailable,frameColor,catentryId,imgHover,brandlogoUrl,isPolarized,isHideRemixLink,colorsNumber,isOutOfStock,clusterSize,sequence,modelName,isEngravable,localizedColorLabel,name,partNumber,isStella,engravableLabel,userType,customizableLabel,listPrice,wishlistRelatedLinks.addToWishlistURI,wishlistRelatedLinks.isInWishlist,wishlistRelatedLinks.deleteFromWishlistURI,badgeBelowRight.label,badgeBelowRight.iconIdentifier,colors,polarizedLabel,juniorLabel,pdpCustomizeUrl
0,False,Gris foncé,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597458429__001.png?impolicy=SGH_bgtransparent&width=640,"€189,00",EUR,/fr/burberry/be4342-8056597458429,False,False,0BE4342,Product_5_1,Burberry,False,Noir,3074457345618559171,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597458429__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/burberry_bl_18.png,False,False,1 Couleur,False,1,1,BE4342 ELIOT,False,Noir/Gris,BE4342 ELIOT,8056597458429,False,Gravure,G,Personnalisez,"€270,00",store/13801/wishlist/sgh/catEntryId/3074457345618559171,False,store/13801/wishlist/sgh/catEntryId/3074457345618559171,,,,,,
1,False,Noir,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652377858__001.png?impolicy=SGH_bgtransparent&width=640,"€213,50",EUR,/fr/saint-laurent/ys000349-889652377858,False,False,0YS000349,Product_5_2,Yves Saint Laurent,False,Noir,3074457345618612305,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652377858__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/YSL_bl.png,False,False,1 Couleur,False,1,2,SL 521,False,Noir/Noir,SL 521,889652377858,False,Gravure,G,Personnalisez,"€305,00",store/13801/wishlist/sgh/catEntryId/3074457345618612305,False,store/13801/wishlist/sgh/catEntryId/3074457345618612305,Nouveauté,,,,,
2,False,Vert,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672969047__001.png?impolicy=SGH_bgtransparent&width=640,"€168,00",EUR,/fr/persol/po2456s-8053672969047,False,False,0PO2456S,Product_5_3,Persol,False,Or,3074457345618406157,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672969047__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/persol_bl_18.png,False,False,2 couleurs,False,2,3,PO2456S,False,Or/Vert,PO2456S,8053672969047,False,Gravure,G,Personnalisez,"€240,00",store/13801/wishlist/sgh/catEntryId/3074457345618406157,False,store/13801/wishlist/sgh/catEntryId/3074457345618406157,,,"[{'isEmailMeWhenAvailable': False, 'lensColor': 'Vert', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672969047__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€168,00', 'frameColor': 'Or', 'seoCurrency': 'EUR', 'pdpURL': '/fr/persol/po2456s-8053672969047', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672969047__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/persol_bl_18.png', 'clusterGroupingColor': 'Gold/Green/POLISHED/Classic/Green/Crystal/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Or/Vert', 'name': 'PO2456S', 'partNumber': '8053672969047', 'uniqueID': '3074457345618406157', 'listPrice': '€240,00'}, {'isEmailMeWhenAvailable': False, 'lensColor': 'Gris', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672969023__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€182,00', 'frameColor': 'Argent', 'seoCurrency': 'EUR', 'pdpURL': '/fr/persol/po2456s-8053672969023', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672969023__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/persol_bl_18.png', 'clusterGroupingColor': 'Silver/Grey/POLISHED/Gradient/Grey-Black/Crystal/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Argent/Gris', 'name': 'PO2456S', 'partNumber': '8053672969023', 'uniqueID': '3074457345618405687', 'listPrice': '€260,00'}]",,,
3,False,Gris,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652277981__001.png?impolicy=SGH_bgtransparent&width=640,"€240,00",EUR,/fr/gucci/gc001371-889652277981,False,False,0GC001371,Product_5_4,Gucci,False,Noir brillant,3074457345618485460,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652277981__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/gucci_bl_18.png,False,False,2 couleurs,False,2,4,GG0641S,False,Noir/Gris,GG0641S,889652277981,False,Gravure,G,Personnalisez,"€480,00",store/13801/wishlist/sgh/catEntryId/3074457345618485460,False,store/13801/wishlist/sgh/catEntryId/3074457345618485460,,,"[{'isEmailMeWhenAvailable': False, 'lensColor': 'Gris', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652277981__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€240,00', 'frameColor': 'Noir', 'seoCurrency': 'EUR', 'pdpURL': '/fr/gucci/gc001371-889652277981', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652277981__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/gucci_bl_18.png', 'clusterGroupingColor': 'Black/Grey/POLISHED/Solid Color/Grey/Not Glass/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Noir/Gris', 'name': 'GG0641S', 'partNumber': '889652277981', 'uniqueID': '3074457345618485460', 'listPrice': '€480,00'}, {'isEmailMeWhenAvailable': False, 'lensColor': 'Rose', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652278032__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€240,00', 'frameColor': 'Blanc', 'seoCurrency': 'EUR', 'pdpURL': '/fr/gucci/gc001371-889652278032', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652278032__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/gucci_bl_18.png', 'clusterGroupingColor': 'White/Pink/POLISHED/Solid Color/Pink/Not Glass/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Blanc/Rose', 'name': 'GG0641S', 'partNumber': '889652278032', 'uniqueID': '3074457345618485512', 'listPrice': '€480,00'}]",,,
4,False,Dégradé Gris,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597414531__001.png?impolicy=SGH_bgtransparent&width=640,"€72,80",EUR,/fr/ralph/ra4134-8056597414531,False,False,0RA4134,Product_5_5,Ralph,False,Noir brillant,3074457345618540245,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597414531__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/ralph_bl_18.png,False,False,1 Couleur,False,1,5,RA4134,False,Noir/Gris,RA4134,8056597414531,False,Gravure,G,Personnalisez,"€104,00",store/13801/wishlist/sgh/catEntryId/3074457345618540245,False,store/13801/wishlist/sgh/catEntryId/3074457345618540245,Uniquement en ligne,,,,,
5,False,Prizm Snow Torch Iridium,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392555878__001.png?impolicy=SGH_bgtransparent&width=640,"€168,80",EUR,/fr/masques-oakley/oo7110-888392555878,False,False,0OO7110,Product_5_6,Oakley,False,Viking,3074457345618574228,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392555878__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/oakley_bl_18.png,False,False,1 Couleur,False,1,6,OO7110 Flight Path L Aleksander Kilde Signature Series Snow Goggles,False,Noir/Rouge,OO7110 Flight Path L Aleksander Kilde Signature Series Snow Goggles,888392555878,False,Gravure,G,Personnalisez,"€211,00",store/13801/wishlist/sgh/catEntryId/3074457345618574228,False,store/13801/wishlist/sgh/catEntryId/3074457345618574228,,,,,,
6,False,Dégradé Gris Polar,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597076166__001.png?impolicy=SGH_bgtransparent&width=640,"€83,30",EUR,/fr/collection-sunglass-hut/hu2016-8056597076166,False,False,0HU2016,Product_5_7,Sunglass Hut Collection,False,Noir,3074457345618437789,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597076166__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/sghcollection_bl_18.png,True,False,2 couleurs,False,2,7,HU2016,False,Noir/Gris,HU2016,8056597076166,False,Gravure,G,Personnalisez,"€119,00",store/13801/wishlist/sgh/catEntryId/3074457345618437789,False,store/13801/wishlist/sgh/catEntryId/3074457345618437789,,,"[{'isEmailMeWhenAvailable': False, 'lensColor': 'Gris', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597076166__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€83,30', 'frameColor': 'Noir', 'seoCurrency': 'EUR', 'pdpURL': '/fr/collection-sunglass-hut/hu2016-8056597076166', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597076166__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/sghcollection_bl_18.png', 'clusterGroupingColor': 'Black/Grey/MATTE/Gradient/Polar Gradient Grey/Not Glass/POLARIZED', 'isPolarized': True, 'isOutOfStock': False, 'localizedColorLabel': 'Noir/Gris', 'name': 'HU2016', 'partNumber': '8056597076166', 'uniqueID': '3074457345618437789', 'listPrice': '€119,00'}, {'isEmailMeWhenAvailable': False, 'lensColor': 'Gris', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597076180__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€49,50', 'frameColor': 'Écaille de tortue', 'seoCurrency': 'EUR', 'pdpURL': '/fr/collection-sunglass-hut/hu2016-8056597076180', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597076180__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/sghcollection_bl_18.png', 'clusterGroupingColor': 'Tortoise/Grey/POLISHED/Gradient/Gradient Grey/Not Glass/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Écaille de tortue/Gris', 'name': 'HU2016', 'partNumber': '8056597076180', 'uniqueID': '3074457345618437790', 'listPrice': '€99,00'}]",Verre polarisé,,
7,False,Argent effet miroir,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597115100__001.png?impolicy=SGH_bgtransparent&width=640,"€77,50",EUR,/fr/emporio-armani/ea2092-8056597115100,False,False,0EA2092,Product_5_8,Emporio Armani,False,Gunmetal brillant,3074457345618457440,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597115100__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/emporio-armani_bl_18.png,False,False,2 couleurs,False,2,8,EA2092,False,Gris/Argent,EA2092,8056597115100,False,Gravure,G,Personnalisez,"€155,00",store/13801/wishlist/sgh/catEntryId/3074457345618457440,False,store/13801/wishlist/sgh/catEntryId/3074457345618457440,,,"[{'isEmailMeWhenAvailable': False, 'lensColor': 'Argent', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597115100__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€77,50', 'frameColor': 'Gris', 'seoCurrency': 'EUR', 'pdpURL': '/fr/emporio-armani/ea2092-8056597115100', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597115100__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/emporio-armani_bl_18.png', 'clusterGroupingColor': 'Grey/Silver/POLISHED/Solid Color - Mirror/Mirror Silver/Not Glass/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Gris/Argent', 'name': 'EA2092', 'partNumber': '8056597115100', 'uniqueID': '3074457345618457440', 'listPrice': '€155,00'}, {'isEmailMeWhenAvailable': False, 'lensColor': 'Bleu', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597115124__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€77,50', 'frameColor': 'Bleu', 'seoCurrency': 'EUR', 'pdpURL': '/fr/emporio-armani/ea2092-8056597115124', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597115124__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/emporio-armani_bl_18.png', 'clusterGroupingColor': 'Blue/Blue/MATTE/Solid Color/Blue/Not Glass/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Bleu/Bleu', 'name': 'EA2092', 'partNumber': '8056597115124', 'uniqueID': '3074457345618457438', 'listPrice': '€155,00', 'badgeBelowRight': {'label': 'Vu sur les défilés', 'iconIdentifier': ''}}]",,,
8,False,Gris,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652315348__001.png?impolicy=SGH_bgtransparent&width=640,"€273,00",EUR,/fr/chloe/6n000336-889652315348,False,False,06N000336,Product_5_9,Chloé,False,Écaille de tortue Rose,3074457345618543213,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652315348__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/chloe%5Fbl%5F18.png,False,False,2 couleurs,False,2,9,CH0026S,False,Rose/Gris,CH0026S,889652315348,False,Gravure,G,Personnalisez,"€390,00",store/13801/wishlist/sgh/catEntryId/3074457345618543213,False,store/13801/wishlist/sgh/catEntryId/3074457345618543213,,,"[{'isEmailMeWhenAvailable': False, 'lensColor': 'Gris', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652315348__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€273,00', 'frameColor': 'Rose', 'seoCurrency': 'EUR', 'pdpURL': '/fr/chloe/6n000336-889652315348', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652315348__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/chloe%5Fbl%5F18.png', 'clusterGroupingColor': 'Pink/Grey/Solid Color/Grey/Polyamide/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Rose/Gris', 'name': 'CH0026S', 'partNumber': '889652315348', 'uniqueID': '3074457345618543213', 'listPrice': '€390,00'}, {'isEmailMeWhenAvailable': False, 'lensColor': 'Rose', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652315355__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€273,00', 'frameColor': 'Noir', 'seoCurrency': 'EUR', 'pdpURL': '/fr/chloe/6n000336-889652315355', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652315355__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/chloe%5Fbl%5F18.png', 'clusterGroupingColor': 'Black/Pink/POLISHED/Solid Color/Pink/Polyamide/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Noir/Rose', 'name': 'CH0026S', 'partNumber': '889652315355', 'uniqueID': '3074457345618540891', 'listPrice': '€390,00'}]",,,
9,False,Dégradé Gris,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597071413__001.png?impolicy=SGH_bgtransparent&width=640,"€108,50",EUR,/fr/ray-ban/rb3611-8056597071413,False,False,0RB3611,Product_5_10,Ray-Ban,False,Noir,3074457345618322683,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597071413__002.png?impolicy=SGH_bgtransparent&width=640,https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/ray-ban_wt_18.png,False,False,2 couleurs,False,2,10,RB3611,False,Noir/Gris,RB3611,8056597071413,False,Gravure,G,Personnalisez,"€155,00",store/13801/wishlist/sgh/catEntryId/3074457345618322683,False,store/13801/wishlist/sgh/catEntryId/3074457345618322683,,,"[{'isEmailMeWhenAvailable': False, 'lensColor': 'Gris', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597071413__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€108,50', 'frameColor': 'Noir', 'seoCurrency': 'EUR', 'pdpURL': '/fr/ray-ban/rb3611-8056597071413', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597071413__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/ray-ban_wt_18.png', 'clusterGroupingColor': 'Black/Grey/POLISHED/Gradient/Grey Gradient/Crystal/FALSE', 'isPolarized': False, 'isOutOfStock': False, 'localizedColorLabel': 'Noir/Gris', 'name': 'RB3611', 'partNumber': '8056597071413', 'uniqueID': '3074457345618322683', 'listPrice': '€155,00'}, {'isEmailMeWhenAvailable': False, 'lensColor': 'Vert', 'img': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597071444__001.png?impolicy=SGH_bgtransparent&width=640', 'offerPrice': '€97,50', 'frameColor': 'Gris', 'seoCurrency': 'EUR', 'pdpURL': '/fr/ray-ban/rb3611-8056597071444', 'imgHover': 'https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597071444__002.png?impolicy=SGH_bgtransparent&width=640', 'brandlogoUrl': 'https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/ray-ban_wt_18.png', 'clusterGroupingColor': 'Grey/Green/POLISHED/Classic G-15/Polarized Green Classic G-15/Crystal/POLARIZED', 'isPolarized': True, 'isOutOfStock': False, 'localizedColorLabel': 'Gris/Vert', 'name': 'RB3611', 'partNumber': '8056597071444', 'uniqueID': '3074457345618322687', 'listPrice': '€195,00'}]",,,
